Año;Clave_Ent;Entidad;Cve. Municipio;Municipio;Bien jurídico afectado;Tipo de delito;Subtipo de delito;Modalidad;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Homicidio;Homicidio doloso;No especificado;1;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Homicidio;Homicidio culposo;Con arma de fuego;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Homicidio;Homicidio culposo;Con arma blanca;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Homicidio;Homicidio culposo;En accidente de tránsito;0;1;3;0;0;0;2;0;1;0;1;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Homicidio;Homicidio culposo;Con otro elemento;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Homicidio;Homicidio culposo;No especificado;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con arma de fuego;0;0;0;0;1;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con arma blanca;0;0;2;0;1;1;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con otro elemento;0;1;2;2;1;3;2;8;1;1;3;1
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;No especificado;2;0;0;0;0;0;0;0;0;0;1;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Lesiones;Lesiones culposas;Con arma de fuego;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Lesiones;Lesiones culposas;Con arma blanca;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Lesiones;Lesiones culposas;En accidente de tránsito;0;1;1;2;0;0;1;1;2;1;1;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Lesiones;Lesiones culposas;Con otro elemento;0;0;0;0;0;6;1;0;0;0;0;0
